mean_ranks,created_at,loss,train_loss,epoch
24.30000114440918,2022-04-08 14:45:01.112221,,,
,2022-04-08 14:45:01.575877,"tensor(12.5119, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.5119, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-08 14:45:01.650051,,12.511932373046875,1.0
,2022-04-08 14:45:01.989750,"tensor(13.3294, device='cuda:0', grad_fn=<AddBackward0>)","tensor(13.3294, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-08 14:45:02.397594,"tensor(12.6474, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.6474, device='cuda:0', grad_fn=<AddBackward0>)",
29.05000114440918,2022-04-08 14:45:02.565828,,,
74.6500015258789,2022-04-08 14:45:02.619517,,,
129.15000915527344,2022-04-08 14:45:02.669852,,,
40.60000228881836,2022-04-08 14:45:02.719333,,,
4940.5,2022-04-08 14:45:02.754074,,,
,2022-04-08 14:45:02.755613,,,1.0
,2022-04-08 14:45:03.140137,"tensor(11.5447, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.5447, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-08 14:45:03.202296,,11.544730186462402,2.0
,2022-04-08 14:45:03.556187,"tensor(11.6393, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.6393, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-08 14:45:03.928974,"tensor(11.5997, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.5997, device='cuda:0', grad_fn=<AddBackward0>)",
39.10000228881836,2022-04-08 14:45:04.075304,,,
55.25,2022-04-08 14:45:04.123216,,,
196.60000610351562,2022-04-08 14:45:04.170229,,,
153.6999969482422,2022-04-08 14:45:04.216258,,,
4825.0,2022-04-08 14:45:04.247680,,,
,2022-04-08 14:45:04.249025,,,2.0
,2022-04-08 14:45:04.649099,"tensor(11.0758, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.0758, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-08 14:45:04.708831,,11.07583999633789,3.0
,2022-04-08 14:45:05.049095,"tensor(10.5023, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.5023, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-08 14:45:05.430052,"tensor(11.4996, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.4996, device='cuda:0', grad_fn=<AddBackward0>)",
42.10000228881836,2022-04-08 14:45:05.570702,,,
49.0,2022-04-08 14:45:05.617305,,,
586.75,2022-04-08 14:45:05.663501,,,
200.0,2022-04-08 14:45:05.707884,,,
4668.5,2022-04-08 14:45:05.737757,,,
,2022-04-08 14:45:05.739141,,,3.0
,2022-04-08 14:45:06.109268,"tensor(11.1091, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.1091, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-08 14:45:06.166767,,11.10914134979248,4.0
,2022-04-08 14:45:06.537216,"tensor(10.6303, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.6303, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-08 14:45:06.922611,"tensor(10.5392, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.5392, device='cuda:0', grad_fn=<AddBackward0>)",
45.04999923706055,2022-04-08 14:45:07.055433,,,
42.0,2022-04-08 14:45:07.099833,,,
603.4000244140625,2022-04-08 14:45:07.145341,,,
156.75,2022-04-08 14:45:07.188666,,,
4432.5,2022-04-08 14:45:07.217135,,,
,2022-04-08 14:45:07.218616,,,4.0
,2022-04-08 14:45:07.601061,"tensor(10.2724, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.2724, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-08 14:45:07.657240,,10.272405624389648,5.0
,2022-04-08 14:45:08.018957,"tensor(10.6933, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.6933, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-08 14:45:08.396860,"tensor(10.6486, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.6486, device='cuda:0', grad_fn=<AddBackward0>)",
46.25,2022-04-08 14:45:08.524524,,,
40.04999923706055,2022-04-08 14:45:08.568495,,,
595.0499877929688,2022-04-08 14:45:08.615349,,,
89.8499984741211,2022-04-08 14:45:08.657201,,,
3556.0,2022-04-08 14:45:08.685068,,,
,2022-04-08 14:45:08.686382,,,5.0
,2022-04-08 14:45:09.048533,"tensor(10.2450, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.2450, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-08 14:45:09.103935,,10.244956016540527,6.0
,2022-04-08 14:45:09.462459,"tensor(9.9192, device='cuda:0', grad_fn=<AddBackward0>)","tensor(9.9192, device='cuda:0', grad_fn=<AddBackward0>)",
