mean_ranks,created_at,loss,train_loss,epoch
37.95000076293945,2022-04-24 14:32:22.497894,,,
,2022-04-24 14:32:22.998399,"tensor(12.9228, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.9228, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:23.092052,,12.922751426696777,1.0
,2022-04-24 14:32:23.463105,"tensor(13.5629, device='cuda:0', grad_fn=<AddBackward0>)","tensor(13.5629, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:23.842798,"tensor(13.0267, device='cuda:0', grad_fn=<AddBackward0>)","tensor(13.0267, device='cuda:0', grad_fn=<AddBackward0>)",
32.85000228881836,2022-04-24 14:32:24.006612,,,
80.6500015258789,2022-04-24 14:32:24.061449,,,
63.95000076293945,2022-04-24 14:32:24.117198,,,
8.699999809265137,2022-04-24 14:32:24.166864,,,
4938.0,2022-04-24 14:32:24.207428,,,
,2022-04-24 14:32:24.208371,,,1.0
,2022-04-24 14:32:24.582806,"tensor(12.3199, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.3199, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:24.643134,,12.31993579864502,2.0
,2022-04-24 14:32:24.979843,"tensor(12.3575, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.3575, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:25.352941,"tensor(12.4815, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4815, device='cuda:0', grad_fn=<AddBackward0>)",
30.450000762939453,2022-04-24 14:32:25.500051,,,
152.6999969482422,2022-04-24 14:32:25.549428,,,
60.60000228881836,2022-04-24 14:32:25.597876,,,
8.0,2022-04-24 14:32:25.645614,,,
4825.5,2022-04-24 14:32:25.678226,,,
,2022-04-24 14:32:25.679481,,,2.0
,2022-04-24 14:32:26.057842,"tensor(12.2066, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.2066, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:26.118492,,12.206573486328125,3.0
,2022-04-24 14:32:26.469632,"tensor(11.5729, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.5729, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:26.829908,"tensor(12.4078, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4078, device='cuda:0', grad_fn=<AddBackward0>)",
30.399999618530273,2022-04-24 14:32:26.971034,,,
281.20001220703125,2022-04-24 14:32:27.017886,,,
61.650001525878906,2022-04-24 14:32:27.064729,,,
8.100000381469727,2022-04-24 14:32:27.108724,,,
4733.5,2022-04-24 14:32:27.139822,,,
,2022-04-24 14:32:27.141368,,,3.0
,2022-04-24 14:32:27.524312,"tensor(12.2203, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.2203, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:27.578210,,12.220307350158691,4.0
,2022-04-24 14:32:27.928450,"tensor(11.7896, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.7896, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:28.300723,"tensor(11.6373, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.6373, device='cuda:0', grad_fn=<AddBackward0>)",
29.899999618530273,2022-04-24 14:32:28.430601,,,
637.25,2022-04-24 14:32:28.473518,,,
63.04999923706055,2022-04-24 14:32:28.516446,,,
7.849999904632568,2022-04-24 14:32:28.558240,,,
4669.0,2022-04-24 14:32:28.586059,,,
,2022-04-24 14:32:28.587311,,,4.0
,2022-04-24 14:32:29.014416,"tensor(11.7260, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.7260, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:29.068488,,11.726012229919434,5.0
,2022-04-24 14:32:29.436132,"tensor(11.7475, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.7475, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:29.800033,"tensor(11.7446, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.7446, device='cuda:0', grad_fn=<AddBackward0>)",
28.80000114440918,2022-04-24 14:32:29.923288,,,
661.2000122070312,2022-04-24 14:32:29.964987,,,
59.650001525878906,2022-04-24 14:32:30.006271,,,
7.650000095367432,2022-04-24 14:32:30.047777,,,
4651.5,2022-04-24 14:32:30.075303,,,
,2022-04-24 14:32:30.076566,,,5.0
,2022-04-24 14:32:30.445596,"tensor(11.4953, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.4953, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:30.498916,,11.495283126831055,6.0
,2022-04-24 14:32:30.870791,"tensor(11.2079, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.2079, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:31.259525,"tensor(12.5297, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.5297, device='cuda:0', grad_fn=<AddBackward0>)",
27.950000762939453,2022-04-24 14:32:31.385732,,,
656.0,2022-04-24 14:32:31.428481,,,
54.900001525878906,2022-04-24 14:32:31.470812,,,
7.550000190734863,2022-04-24 14:32:31.513261,,,
4629.5,2022-04-24 14:32:31.541184,,,
,2022-04-24 14:32:31.542628,,,6.0
,2022-04-24 14:32:31.923074,"tensor(12.4092, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4092, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:31.976398,,12.409239768981934,7.0
,2022-04-24 14:32:32.349123,"tensor(11.7370, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.7370, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:32.731832,"tensor(10.9246, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.9246, device='cuda:0', grad_fn=<AddBackward0>)",
27.399999618530273,2022-04-24 14:32:32.856245,,,
630.9500122070312,2022-04-24 14:32:32.897836,,,
49.85000228881836,2022-04-24 14:32:32.939053,,,
7.650000095367432,2022-04-24 14:32:32.980904,,,
4664.5,2022-04-24 14:32:33.008415,,,
,2022-04-24 14:32:33.009636,,,7.0
,2022-04-24 14:32:33.430031,"tensor(11.0709, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.0709, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:33.482128,,11.07089900970459,8.0
,2022-04-24 14:32:33.885366,"tensor(12.1981, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.1981, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:34.254882,"tensor(11.7109, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.7109, device='cuda:0', grad_fn=<AddBackward0>)",
27.80000114440918,2022-04-24 14:32:34.388301,,,
639.0,2022-04-24 14:32:34.431674,,,
48.150001525878906,2022-04-24 14:32:34.476187,,,
7.75,2022-04-24 14:32:34.517990,,,
4710.5,2022-04-24 14:32:34.545576,,,
,2022-04-24 14:32:34.546944,,,8.0
,2022-04-24 14:32:34.928692,"tensor(10.8640, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.8640, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:34.981127,,10.864017486572266,9.0
,2022-04-24 14:32:35.344363,"tensor(12.2277, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.2277, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:35.730004,"tensor(11.2674, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.2674, device='cuda:0', grad_fn=<AddBackward0>)",
28.0,2022-04-24 14:32:35.854080,,,
630.0499877929688,2022-04-24 14:32:35.896353,,,
52.04999923706055,2022-04-24 14:32:35.938331,,,
7.650000095367432,2022-04-24 14:32:35.979947,,,
4728.5,2022-04-24 14:32:36.007515,,,
,2022-04-24 14:32:36.008846,,,9.0
,2022-04-24 14:32:36.409910,"tensor(11.6825, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.6825, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:36.462253,,11.682538032531738,10.0
,2022-04-24 14:32:36.836105,"tensor(11.3558, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.3558, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:37.195251,"tensor(11.3697, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.3697, device='cuda:0', grad_fn=<AddBackward0>)",
28.200000762939453,2022-04-24 14:32:37.318731,,,
623.7000122070312,2022-04-24 14:32:37.360147,,,
60.0,2022-04-24 14:32:37.411036,,,
8.050000190734863,2022-04-24 14:32:37.453417,,,
4735.5,2022-04-24 14:32:37.481754,,,
,2022-04-24 14:32:37.483166,,,10.0
,2022-04-24 14:32:37.935743,"tensor(11.4875, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.4875, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:37.988360,,11.487510681152344,11.0
,2022-04-24 14:32:38.376191,"tensor(11.8746, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.8746, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:38.748955,"tensor(11.1075, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.1075, device='cuda:0', grad_fn=<AddBackward0>)",
28.100000381469727,2022-04-24 14:32:38.872995,,,
618.5499877929688,2022-04-24 14:32:38.914785,,,
65.5,2022-04-24 14:32:38.957014,,,
7.700000286102295,2022-04-24 14:32:39.003617,,,
4721.5,2022-04-24 14:32:39.031835,,,
,2022-04-24 14:32:39.033119,,,11.0
,2022-04-24 14:32:39.442479,"tensor(11.7347, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.7347, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:39.495289,,11.734722137451172,12.0
,2022-04-24 14:32:39.888004,"tensor(11.4518, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.4518, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:40.257963,"tensor(11.1765, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.1765, device='cuda:0', grad_fn=<AddBackward0>)",
28.25,2022-04-24 14:32:40.381978,,,
607.25,2022-04-24 14:32:40.423527,,,
70.5999984741211,2022-04-24 14:32:40.466687,,,
7.550000190734863,2022-04-24 14:32:40.507718,,,
4688.0,2022-04-24 14:32:40.535380,,,
,2022-04-24 14:32:40.536633,,,12.0
,2022-04-24 14:32:40.940783,"tensor(12.3713, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.3713, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:40.993747,,12.37125301361084,13.0
,2022-04-24 14:32:41.388264,"tensor(10.7898, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.7898, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:41.765986,"tensor(11.1781, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.1781, device='cuda:0', grad_fn=<AddBackward0>)",
28.350000381469727,2022-04-24 14:32:41.896347,,,
607.2000122070312,2022-04-24 14:32:41.937485,,,
74.30000305175781,2022-04-24 14:32:41.978818,,,
7.599999904632568,2022-04-24 14:32:42.020114,,,
4667.0,2022-04-24 14:32:42.048148,,,
,2022-04-24 14:32:42.049631,,,13.0
,2022-04-24 14:32:42.472536,"tensor(11.7111, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.7111, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:42.524915,,11.711055755615234,14.0
,2022-04-24 14:32:42.920275,"tensor(10.9023, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.9023, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:43.287370,"tensor(11.6429, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.6429, device='cuda:0', grad_fn=<AddBackward0>)",
28.350000381469727,2022-04-24 14:32:43.410796,,,
614.5,2022-04-24 14:32:43.453430,,,
77.25,2022-04-24 14:32:43.496485,,,
7.599999904632568,2022-04-24 14:32:43.544689,,,
4665.5,2022-04-24 14:32:43.573421,,,
,2022-04-24 14:32:43.574975,,,14.0
,2022-04-24 14:32:44.007535,"tensor(11.8809, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.8809, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:44.059685,,11.880876541137695,15.0
,2022-04-24 14:32:44.482745,"tensor(11.5426, device='cuda:0', grad_fn=<AddBackward0>)","tensor(11.5426, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-24 14:32:44.851863,"tensor(10.5933, device='cuda:0', grad_fn=<AddBackward0>)","tensor(10.5933, device='cuda:0', grad_fn=<AddBackward0>)",
28.450000762939453,2022-04-24 14:32:44.975873,,,
595.8500366210938,2022-04-24 14:32:45.018173,,,
74.95000457763672,2022-04-24 14:32:45.061108,,,
