mean_ranks,created_at,loss,train_loss,epoch
30.700000762939453,2022-04-16 14:46:11.267639,,,
,2022-04-16 14:46:11.677270,"tensor(2.9501, device='cuda:0', grad_fn=<AddBackward0>)","tensor(2.9501, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-16 14:46:11.738486,,2.9500792026519775,1.0
,2022-04-16 14:46:12.044081,"tensor(5.1781, device='cuda:0', grad_fn=<AddBackward0>)","tensor(5.1781, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-16 14:46:12.432451,"tensor(4.1546, device='cuda:0', grad_fn=<AddBackward0>)","tensor(4.1546, device='cuda:0', grad_fn=<AddBackward0>)",
22.25,2022-04-16 14:46:12.581036,,,
50.70000076293945,2022-04-16 14:46:12.628726,,,
29.649999618530273,2022-04-16 14:46:12.676729,,,
17.80000114440918,2022-04-16 14:46:12.722006,,,
5323.5,2022-04-16 14:46:12.755239,,,
,2022-04-16 14:46:12.756610,,,1.0
,2022-04-16 14:46:13.108965,"tensor(3.0865, device='cuda:0', grad_fn=<AddBackward0>)","tensor(3.0865, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-16 14:46:13.167790,,3.08650279045105,2.0
,2022-04-16 14:46:13.485671,"tensor(3.5499, device='cuda:0', grad_fn=<AddBackward0>)","tensor(3.5499, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-16 14:46:13.823563,"tensor(3.3328, device='cuda:0', grad_fn=<AddBackward0>)","tensor(3.3328, device='cuda:0', grad_fn=<AddBackward0>)",
21.450000762939453,2022-04-16 14:46:13.959472,,,
29.75,2022-04-16 14:46:14.004218,,,
28.05000114440918,2022-04-16 14:46:14.047888,,,
21.55000114440918,2022-04-16 14:46:14.090391,,,
5003.5,2022-04-16 14:46:14.120121,,,
,2022-04-16 14:46:14.121322,,,2.0
,2022-04-16 14:46:14.446382,"tensor(2.5432, device='cuda:0', grad_fn=<AddBackward0>)","tensor(2.5432, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-16 14:46:14.501649,,2.5431859493255615,3.0
,2022-04-16 14:46:14.810062,"tensor(2.8501, device='cuda:0', grad_fn=<AddBackward0>)","tensor(2.8501, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-16 14:46:15.152105,"tensor(2.6394, device='cuda:0', grad_fn=<AddBackward0>)","tensor(2.6394, device='cuda:0', grad_fn=<AddBackward0>)",
20.950000762939453,2022-04-16 14:46:15.283574,,,
23.25,2022-04-16 14:46:15.326936,,,
23.200000762939453,2022-04-16 14:46:15.369649,,,
26.149999618530273,2022-04-16 14:46:15.411495,,,
4597.5,2022-04-16 14:46:15.439875,,,
,2022-04-16 14:46:15.441170,,,3.0
,2022-04-16 14:46:15.772808,"tensor(2.8423, device='cuda:0', grad_fn=<AddBackward0>)","tensor(2.8423, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-16 14:46:15.826739,,2.842306613922119,4.0
,2022-04-16 14:46:16.147436,"tensor(2.4752, device='cuda:0', grad_fn=<AddBackward0>)","tensor(2.4752, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-16 14:46:16.511278,"tensor(2.4555, device='cuda:0', grad_fn=<AddBackward0>)","tensor(2.4555, device='cuda:0', grad_fn=<AddBackward0>)",
20.80000114440918,2022-04-16 14:46:16.636510,,,
23.200000762939453,2022-04-16 14:46:16.678888,,,
21.0,2022-04-16 14:46:16.721074,,,
27.30000114440918,2022-04-16 14:46:16.761856,,,
4535.5,2022-04-16 14:46:16.789361,,,
,2022-04-16 14:46:16.790542,,,4.0
,2022-04-16 14:46:17.162731,"tensor(2.2535, device='cuda:0', grad_fn=<AddBackward0>)","tensor(2.2535, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-16 14:46:17.216062,,2.253535032272339,5.0
,2022-04-16 14:46:17.572109,"tensor(2.1966, device='cuda:0', grad_fn=<AddBackward0>)","tensor(2.1966, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-16 14:46:17.908704,"tensor(2.2787, device='cuda:0', grad_fn=<AddBackward0>)","tensor(2.2787, device='cuda:0', grad_fn=<AddBackward0>)",
19.30000114440918,2022-04-16 14:46:18.033245,,,
25.80000114440918,2022-04-16 14:46:18.073418,,,
21.149999618530273,2022-04-16 14:46:18.114786,,,
27.25,2022-04-16 14:46:18.155927,,,
4418.5,2022-04-16 14:46:18.183651,,,
,2022-04-16 14:46:18.184914,,,5.0
,2022-04-16 14:46:18.569484,"tensor(2.0486, device='cuda:0', grad_fn=<AddBackward0>)","tensor(2.0486, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-16 14:46:18.623544,,2.048557758331299,6.0
,2022-04-16 14:46:18.950443,"tensor(2.2475, device='cuda:0', grad_fn=<AddBackward0>)","tensor(2.2475, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-16 14:46:19.290669,"tensor(2.1846, device='cuda:0', grad_fn=<AddBackward0>)","tensor(2.1846, device='cuda:0', grad_fn=<AddBackward0>)",
19.700000762939453,2022-04-16 14:46:19.414225,,,
24.399999618530273,2022-04-16 14:46:19.453970,,,
22.55000114440918,2022-04-16 14:46:19.494914,,,
26.950000762939453,2022-04-16 14:46:19.535323,,,
4228.5,2022-04-16 14:46:19.562742,,,
,2022-04-16 14:46:19.563792,,,6.0
,2022-04-16 14:46:19.901517,"tensor(2.2108, device='cuda:0', grad_fn=<AddBackward0>)","tensor(2.2108, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-16 14:46:19.954903,,2.210841417312622,7.0
