mean_ranks,created_at,loss,train_loss,epoch
956.75,2022-03-11 13:32:49.386799,,,
,2022-03-11 13:32:50.239838,"tensor(14.5664, device='cuda:0', grad_fn=<AddBackward0>)","tensor(14.5664, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:32:50.313188,,14.56644344329834,1.0
,2022-03-11 13:32:51.059700,"tensor(16.6050, device='cuda:0', grad_fn=<AddBackward0>)","tensor(16.6050, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:32:51.849807,"tensor(15.4630, device='cuda:0', grad_fn=<AddBackward0>)","tensor(15.4630, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:32:52.640947,"tensor(14.1347, device='cuda:0', grad_fn=<AddBackward0>)","tensor(14.1347, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:32:53.435725,"tensor(14.7992, device='cuda:0', grad_fn=<AddBackward0>)","tensor(14.7992, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:32:54.201551,"tensor(15.5676, device='cuda:0', grad_fn=<AddBackward0>)","tensor(15.5676, device='cuda:0', grad_fn=<AddBackward0>)",
948.9000244140625,2022-03-11 13:32:54.310794,,,
728.8500366210938,2022-03-11 13:32:54.337249,,,
355.20001220703125,2022-03-11 13:32:54.364246,,,
1729.300048828125,2022-03-11 13:32:54.391371,,,
1448.5,2022-03-11 13:32:54.418489,,,
262.25,2022-03-11 13:32:54.445377,,,
991.0499877929688,2022-03-11 13:32:54.472188,,,
556.7000122070312,2022-03-11 13:32:54.498644,,,
1321.550048828125,2022-03-11 13:32:54.526077,,,
2355.949951171875,2022-03-11 13:32:54.553562,,,
1088.25,2022-03-11 13:32:54.581025,,,
1164.4500732421875,2022-03-11 13:32:54.608033,,,
1629.75,2022-03-11 13:32:54.635638,,,
1945.050048828125,2022-03-11 13:32:54.662574,,,
9.0,2022-03-11 13:32:54.690102,,,
2014.6500244140625,2022-03-11 13:32:54.717209,,,
742.1000366210938,2022-03-11 13:32:54.744524,,,
1408.5999755859375,2022-03-11 13:32:54.771940,,,
1788.1500244140625,2022-03-11 13:32:54.798694,,,
1941.800048828125,2022-03-11 13:32:54.825685,,,
568.5,2022-03-11 13:32:54.853032,,,
1762.75,2022-03-11 13:32:54.880066,,,
1562.6500244140625,2022-03-11 13:32:54.906706,,,
1784.050048828125,2022-03-11 13:32:54.933230,,,
1386.5,2022-03-11 13:32:54.960231,,,
379.8999938964844,2022-03-11 13:32:54.988267,,,
2037.800048828125,2022-03-11 13:32:55.019622,,,
668.5,2022-03-11 13:32:55.046839,,,
2364.800048828125,2022-03-11 13:32:55.074678,,,
892.4000244140625,2022-03-11 13:32:55.102173,,,
1045.7000732421875,2022-03-11 13:32:55.129633,,,
1208.300048828125,2022-03-11 13:32:55.156672,,,
747.5714721679688,2022-03-11 13:32:55.179723,,,
,2022-03-11 13:32:55.180596,,,1.0
,2022-03-11 13:32:55.990920,"tensor(14.7741, device='cuda:0', grad_fn=<AddBackward0>)","tensor(14.7741, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:32:56.063020,,14.774085998535156,2.0
,2022-03-11 13:32:56.771757,"tensor(14.8195, device='cuda:0', grad_fn=<AddBackward0>)","tensor(14.8195, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:32:57.550831,"tensor(14.7115, device='cuda:0', grad_fn=<AddBackward0>)","tensor(14.7115, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:32:58.324761,"tensor(15.4344, device='cuda:0', grad_fn=<AddBackward0>)","tensor(15.4344, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:32:59.078091,"tensor(14.5824, device='cuda:0', grad_fn=<AddBackward0>)","tensor(14.5824, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:32:59.832252,"tensor(13.6733, device='cuda:0', grad_fn=<AddBackward0>)","tensor(13.6733, device='cuda:0', grad_fn=<AddBackward0>)",
946.4500122070312,2022-03-11 13:32:59.944483,,,
764.1500244140625,2022-03-11 13:32:59.971430,,,
360.3000183105469,2022-03-11 13:32:59.998565,,,
1735.75,2022-03-11 13:33:00.023750,,,
1457.1500244140625,2022-03-11 13:33:00.049324,,,
261.3999938964844,2022-03-11 13:33:00.074532,,,
968.3500366210938,2022-03-11 13:33:00.101588,,,
526.6000366210938,2022-03-11 13:33:00.131096,,,
1341.0,2022-03-11 13:33:00.157223,,,
2380.550048828125,2022-03-11 13:33:00.183453,,,
1080.800048828125,2022-03-11 13:33:00.210223,,,
1206.75,2022-03-11 13:33:00.236316,,,
1645.0,2022-03-11 13:33:00.262274,,,
1968.550048828125,2022-03-11 13:33:00.287702,,,
9.0,2022-03-11 13:33:00.313421,,,
2015.9000244140625,2022-03-11 13:33:00.339289,,,
747.9000244140625,2022-03-11 13:33:00.364927,,,
1410.5,2022-03-11 13:33:00.390687,,,
1795.0999755859375,2022-03-11 13:33:00.416501,,,
1962.6500244140625,2022-03-11 13:33:00.441925,,,
568.6500244140625,2022-03-11 13:33:00.467642,,,
1784.5,2022-03-11 13:33:00.493177,,,
1549.4000244140625,2022-03-11 13:33:00.518309,,,
1713.550048828125,2022-03-11 13:33:00.543529,,,
1385.3499755859375,2022-03-11 13:33:00.569494,,,
353.5,2022-03-11 13:33:00.595543,,,
2039.9000244140625,2022-03-11 13:33:00.621414,,,
664.4500122070312,2022-03-11 13:33:00.647693,,,
2380.150146484375,2022-03-11 13:33:00.674068,,,
909.0499877929688,2022-03-11 13:33:00.700182,,,
1029.050048828125,2022-03-11 13:33:00.726379,,,
1431.050048828125,2022-03-11 13:33:00.752085,,,
745.2142944335938,2022-03-11 13:33:00.773859,,,
,2022-03-11 13:33:00.774879,,,2.0
,2022-03-11 13:33:01.533763,"tensor(12.5702, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.5702, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:33:01.596074,,12.570228576660156,3.0
,2022-03-11 13:33:02.337702,"tensor(14.4601, device='cuda:0', grad_fn=<AddBackward0>)","tensor(14.4601, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:33:03.113869,"tensor(14.4030, device='cuda:0', grad_fn=<AddBackward0>)","tensor(14.4030, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:33:03.888333,"tensor(14.2667, device='cuda:0', grad_fn=<AddBackward0>)","tensor(14.2667, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:33:04.754331,"tensor(14.9641, device='cuda:0', grad_fn=<AddBackward0>)","tensor(14.9641, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:33:05.531408,"tensor(14.8984, device='cuda:0', grad_fn=<AddBackward0>)","tensor(14.8984, device='cuda:0', grad_fn=<AddBackward0>)",
981.4000244140625,2022-03-11 13:33:05.638664,,,
760.25,2022-03-11 13:33:05.665639,,,
359.8000183105469,2022-03-11 13:33:05.690910,,,
1746.1500244140625,2022-03-11 13:33:05.716872,,,
1457.9500732421875,2022-03-11 13:33:05.742535,,,
262.8999938964844,2022-03-11 13:33:05.768483,,,
965.9000244140625,2022-03-11 13:33:05.795000,,,
543.1500244140625,2022-03-11 13:33:05.820110,,,
1362.0,2022-03-11 13:33:05.845207,,,
2400.400146484375,2022-03-11 13:33:05.870705,,,
1083.2000732421875,2022-03-11 13:33:05.895984,,,
1209.0,2022-03-11 13:33:05.921499,,,
1669.0999755859375,2022-03-11 13:33:05.946968,,,
1977.7000732421875,2022-03-11 13:33:05.972485,,,
8.699999809265137,2022-03-11 13:33:05.998112,,,
1997.6500244140625,2022-03-11 13:33:06.026233,,,
751.6500244140625,2022-03-11 13:33:06.051502,,,
1406.550048828125,2022-03-11 13:33:06.076654,,,
1804.8499755859375,2022-03-11 13:33:06.102271,,,
1963.9000244140625,2022-03-11 13:33:06.127529,,,
567.6500244140625,2022-03-11 13:33:06.153581,,,
1779.25,2022-03-11 13:33:06.179281,,,
1550.5,2022-03-11 13:33:06.204650,,,
1688.800048828125,2022-03-11 13:33:06.230609,,,
1385.5,2022-03-11 13:33:06.261564,,,
356.95001220703125,2022-03-11 13:33:06.287282,,,
2035.25,2022-03-11 13:33:06.312816,,,
668.0,2022-03-11 13:33:06.338189,,,
2392.300048828125,2022-03-11 13:33:06.363509,,,
912.1500244140625,2022-03-11 13:33:06.390001,,,
985.6500244140625,2022-03-11 13:33:06.415963,,,
1450.5999755859375,2022-03-11 13:33:06.442328,,,
734.857177734375,2022-03-11 13:33:06.463468,,,
,2022-03-11 13:33:06.464333,,,3.0
,2022-03-11 13:33:07.320640,"tensor(13.4549, device='cuda:0', grad_fn=<AddBackward0>)","tensor(13.4549, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:33:07.382466,,13.454862594604492,4.0
,2022-03-11 13:33:08.116630,"tensor(15.5866, device='cuda:0', grad_fn=<AddBackward0>)","tensor(15.5866, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:33:08.886879,"tensor(13.4954, device='cuda:0', grad_fn=<AddBackward0>)","tensor(13.4954, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:33:09.677537,"tensor(13.9078, device='cuda:0', grad_fn=<AddBackward0>)","tensor(13.9078, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:33:10.457714,"tensor(13.3706, device='cuda:0', grad_fn=<AddBackward0>)","tensor(13.3706, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:33:11.204845,"tensor(13.9821, device='cuda:0', grad_fn=<AddBackward0>)","tensor(13.9821, device='cuda:0', grad_fn=<AddBackward0>)",
946.5,2022-03-11 13:33:11.304399,,,
746.2999877929688,2022-03-11 13:33:11.329730,,,
358.6499938964844,2022-03-11 13:33:11.359712,,,
1732.5,2022-03-11 13:33:11.386328,,,
1455.0999755859375,2022-03-11 13:33:11.414177,,,
261.5,2022-03-11 13:33:11.439303,,,
976.2999877929688,2022-03-11 13:33:11.464056,,,
544.7000122070312,2022-03-11 13:33:11.489301,,,
1374.7000732421875,2022-03-11 13:33:11.514273,,,
2396.949951171875,2022-03-11 13:33:11.538759,,,
1083.25,2022-03-11 13:33:11.563218,,,
1182.9500732421875,2022-03-11 13:33:11.588065,,,
1681.9500732421875,2022-03-11 13:33:11.612608,,,
1983.0999755859375,2022-03-11 13:33:11.637336,,,
8.699999809265137,2022-03-11 13:33:11.662357,,,
1980.5999755859375,2022-03-11 13:33:11.686942,,,
739.3500366210938,2022-03-11 13:33:11.712275,,,
1398.2000732421875,2022-03-11 13:33:11.737588,,,
1805.0,2022-03-11 13:33:11.764319,,,
1971.7000732421875,2022-03-11 13:33:11.789749,,,
568.25,2022-03-11 13:33:11.814546,,,
1766.9000244140625,2022-03-11 13:33:11.840026,,,
1549.3499755859375,2022-03-11 13:33:11.865053,,,
1624.5999755859375,2022-03-11 13:33:11.890607,,,
1386.7000732421875,2022-03-11 13:33:11.915500,,,
362.25,2022-03-11 13:33:11.940131,,,
2027.5999755859375,2022-03-11 13:33:11.965403,,,
671.3500366210938,2022-03-11 13:33:11.990547,,,
2396.60009765625,2022-03-11 13:33:12.015258,,,
918.4500122070312,2022-03-11 13:33:12.041617,,,
994.5499877929688,2022-03-11 13:33:12.067858,,,
1459.9500732421875,2022-03-11 13:33:12.094783,,,
732.2857666015625,2022-03-11 13:33:12.115431,,,
,2022-03-11 13:33:12.116374,,,4.0
,2022-03-11 13:33:12.914013,"tensor(14.7446, device='cuda:0', grad_fn=<AddBackward0>)","tensor(14.7446, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:33:12.974497,,14.744592666625977,5.0
,2022-03-11 13:33:13.735493,"tensor(13.8958, device='cuda:0', grad_fn=<AddBackward0>)","tensor(13.8958, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:33:14.482156,"tensor(14.4242, device='cuda:0', grad_fn=<AddBackward0>)","tensor(14.4242, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:33:15.213837,"tensor(13.3072, device='cuda:0', grad_fn=<AddBackward0>)","tensor(13.3072, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:33:15.993236,"tensor(13.3324, device='cuda:0', grad_fn=<AddBackward0>)","tensor(13.3324, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-11 13:33:16.718285,"tensor(12.2388, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.2388, device='cuda:0', grad_fn=<AddBackward0>)",
