mean_ranks,created_at,loss,train_loss,epoch
2856.449951171875,2022-04-06 15:17:00.137340,,,
,2022-04-06 15:17:01.242862,"tensor(12.4332, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4332, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:01.584058,,12.433177947998047,1.0
,2022-04-06 15:17:02.549401,"tensor(12.4332, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4332, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:03.830840,"tensor(12.4331, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4331, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:05.142438,"tensor(12.4330, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4330, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:06.432864,"tensor(12.4330, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4330, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:07.717071,"tensor(12.4330, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4330, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:08.993442,"tensor(12.4330, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4330, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:10.256278,"tensor(12.4329, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4329, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:11.539685,"tensor(12.4329, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4329, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:12.821651,"tensor(12.4329, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4329, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:14.102433,"tensor(12.4328, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4328, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:15.408165,"tensor(12.4328, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4328, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:16.709502,"tensor(12.4328, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4328, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:17.979587,"tensor(12.4328, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4328, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:19.250633,"tensor(12.4327, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4327, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:20.520233,"tensor(12.4327, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4327, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:21.798339,"tensor(12.4327, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4327, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:23.060798,"tensor(12.4326, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4326, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:24.346324,"tensor(12.4326, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4326, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:25.625375,"tensor(12.4326, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4326, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:26.902400,"tensor(12.4326, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4326, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:28.160215,"tensor(12.4325, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4325, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:29.451519,"tensor(12.4325, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4325, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:30.737322,"tensor(12.4325, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4325, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:32.029886,"tensor(12.4325, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4325, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:33.341817,"tensor(12.4324, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4324, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:34.641719,"tensor(12.4324, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4324, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:35.901424,"tensor(12.4323, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4323, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-06 15:17:36.390130,"tensor(12.4323, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4323, device='cuda:0', grad_fn=<AddBackward0>)",
1126.4000244140625,2022-04-06 15:17:36.524235,,,
2403.60009765625,2022-04-06 15:17:36.568617,,,
1467.9500732421875,2022-04-06 15:17:36.611314,,,
1387.3499755859375,2022-04-06 15:17:36.653535,,,
794.0,2022-04-06 15:17:36.695724,,,
2190.35009765625,2022-04-06 15:17:36.738167,,,
1065.050048828125,2022-04-06 15:17:36.780075,,,
2408.949951171875,2022-04-06 15:17:36.822901,,,
1450.5999755859375,2022-04-06 15:17:36.866855,,,
2026.4500732421875,2022-04-06 15:17:36.908777,,,
2176.550048828125,2022-04-06 15:17:36.950770,,,
3015.949951171875,2022-04-06 15:17:36.993583,,,
3396.300048828125,2022-04-06 15:17:37.036410,,,
2655.35009765625,2022-04-06 15:17:37.078827,,,
3059.449951171875,2022-04-06 15:17:37.122355,,,
3165.949951171875,2022-04-06 15:17:37.164910,,,
2279.0,2022-04-06 15:17:37.207289,,,
3057.900146484375,2022-04-06 15:17:37.250172,,,
2271.400146484375,2022-04-06 15:17:37.294234,,,
2444.25,2022-04-06 15:17:37.338084,,,
1133.0,2022-04-06 15:17:37.381802,,,
3268.199951171875,2022-04-06 15:17:37.424214,,,
1203.800048828125,2022-04-06 15:17:37.469368,,,
2201.449951171875,2022-04-06 15:17:37.512106,,,
549.6500244140625,2022-04-06 15:17:37.554662,,,
2452.5,2022-04-06 15:17:37.596832,,,
3273.800048828125,2022-04-06 15:17:37.639462,,,
1296.800048828125,2022-04-06 15:17:37.681956,,,
4056.35009765625,2022-04-06 15:17:37.724501,,,
2761.650146484375,2022-04-06 15:17:37.767201,,,
2695.75,2022-04-06 15:17:37.811460,,,
1817.3499755859375,2022-04-06 15:17:37.853844,,,
1656.8499755859375,2022-04-06 15:17:37.896782,,,
1818.2000732421875,2022-04-06 15:17:37.939143,,,
