mean_ranks,created_at,loss,train_loss,epoch
2856.449951171875,2022-04-23 07:45:40.982479,,,
,2022-04-23 07:45:41.580613,"tensor(12.4332, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4332, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:41.751530,,12.43319320678711,1.0
,2022-04-23 07:45:42.311258,"tensor(12.4332, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4332, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:43.030584,"tensor(12.4331, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4331, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:43.751837,"tensor(12.4330, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4330, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:44.481353,"tensor(12.4331, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4331, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:45.198125,"tensor(12.4330, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4330, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:45.921085,"tensor(12.4330, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4330, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:46.643060,"tensor(12.4329, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4329, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:47.356738,"tensor(12.4330, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4330, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:48.069729,"tensor(12.4329, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4329, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:48.791355,"tensor(12.4329, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4329, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:49.509204,"tensor(12.4329, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4329, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:50.222868,"tensor(12.4328, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4328, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:50.951235,"tensor(12.4329, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4329, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:51.675243,"tensor(12.4328, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4328, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:52.387605,"tensor(12.4328, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4328, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:53.108391,"tensor(12.4328, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4328, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:53.833213,"tensor(12.4327, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4327, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:54.549324,"tensor(12.4327, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4327, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:55.268563,"tensor(12.4327, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4327, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:56.001088,"tensor(12.4327, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4327, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:56.740066,"tensor(12.4326, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4326, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:57.450411,"tensor(12.4326, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4326, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:58.163657,"tensor(12.4326, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4326, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:58.903480,"tensor(12.4326, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4326, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:45:59.616043,"tensor(12.4325, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4325, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:46:00.372771,"tensor(12.4325, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4325, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:46:01.091026,"tensor(12.4325, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4325, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-23 07:46:01.347110,"tensor(12.4325, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4325, device='cuda:0', grad_fn=<AddBackward0>)",
1191.1500244140625,2022-04-23 07:46:01.416364,,,
2384.199951171875,2022-04-23 07:46:01.439496,,,
1464.75,2022-04-23 07:46:01.462416,,,
1523.4500732421875,2022-04-23 07:46:01.485573,,,
675.0,2022-04-23 07:46:01.508864,,,
2498.0,2022-04-23 07:46:01.532110,,,
1260.300048828125,2022-04-23 07:46:01.554797,,,
2441.5,2022-04-23 07:46:01.578034,,,
1939.3499755859375,2022-04-23 07:46:01.600932,,,
1735.300048828125,2022-04-23 07:46:01.624167,,,
2442.85009765625,2022-04-23 07:46:01.646990,,,
2630.85009765625,2022-04-23 07:46:01.670407,,,
3356.35009765625,2022-04-23 07:46:01.694441,,,
1992.0999755859375,2022-04-23 07:46:01.717390,,,
2566.550048828125,2022-04-23 07:46:01.740637,,,
3287.85009765625,2022-04-23 07:46:01.763366,,,
2349.199951171875,2022-04-23 07:46:01.786418,,,
2440.949951171875,2022-04-23 07:46:01.809442,,,
2802.400146484375,2022-04-23 07:46:01.834149,,,
2379.199951171875,2022-04-23 07:46:01.858039,,,
905.9500122070312,2022-04-23 07:46:01.880784,,,
2953.60009765625,2022-04-23 07:46:01.903638,,,
550.75,2022-04-23 07:46:01.926998,,,
2351.150146484375,2022-04-23 07:46:01.950204,,,
407.45001220703125,2022-04-23 07:46:01.973858,,,
1862.550048828125,2022-04-23 07:46:01.996846,,,
3290.050048828125,2022-04-23 07:46:02.019779,,,
1722.0999755859375,2022-04-23 07:46:02.042762,,,
4205.10009765625,2022-04-23 07:46:02.065743,,,
2713.10009765625,2022-04-23 07:46:02.089000,,,
2405.85009765625,2022-04-23 07:46:02.112570,,,
1558.3499755859375,2022-04-23 07:46:02.135433,,,
1563.4500732421875,2022-04-23 07:46:02.158282,,,
1459.300048828125,2022-04-23 07:46:02.180968,,,
3014.650146484375,2022-04-23 07:46:02.204266,,,
1787.8499755859375,2022-04-23 07:46:02.226882,,,
3110.0,2022-04-23 07:46:02.249528,,,
2967.199951171875,2022-04-23 07:46:02.272428,,,
2715.25,2022-04-23 07:46:02.295290,,,
1015.2000122070312,2022-04-23 07:46:02.318747,,,
627.4000244140625,2022-04-23 07:46:02.341973,,,
3528.0,2022-04-23 07:46:02.364589,,,
1933.0,2022-04-23 07:46:02.387249,,,
1780.300048828125,2022-04-23 07:46:02.410150,,,
