mean_ranks,created_at,loss,train_loss,epoch
3383.900146484375,2022-04-15 09:53:01.489592,,,
,2022-04-15 09:53:02.508391,"tensor(12.4842, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4842, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-15 09:53:02.820316,,12.484188079833984,1.0
,2022-04-15 09:53:03.780558,"tensor(12.4555, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4555, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-15 09:53:05.038595,"tensor(12.4185, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4185, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-15 09:53:06.299494,"tensor(12.3721, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.3721, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-15 09:53:07.567869,"tensor(12.3494, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.3494, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-15 09:53:08.809439,"tensor(12.3380, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.3380, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-15 09:53:10.081543,"tensor(12.3070, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.3070, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-15 09:53:11.334303,"tensor(12.2641, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.2641, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-15 09:53:12.580070,"tensor(12.2172, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.2172, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-15 09:53:13.833568,"tensor(12.2000, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.2000, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-15 09:53:15.106228,"tensor(12.1733, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.1733, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-15 09:53:16.367046,"tensor(12.1357, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.1357, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-15 09:53:17.621707,"tensor(12.1141, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.1141, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-15 09:53:18.906705,"tensor(12.0903, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.0903, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-04-15 09:53:20.169140,"tensor(12.0535, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.0535, device='cuda:0', grad_fn=<AddBackward0>)",
