mean_ranks,created_at,loss,train_loss,epoch
2753.400146484375,2022-03-31 11:09:07.340809,,,
,2022-03-31 11:09:08.410421,"tensor(12.4332, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4332, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:08.819186,,12.433208465576172,1.0
,2022-03-31 11:09:09.852172,"tensor(12.4329, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4329, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:11.127898,"tensor(12.4326, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4326, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:12.382796,"tensor(12.4323, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4323, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:13.652418,"tensor(12.4321, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4321, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:14.929457,"tensor(12.4319, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4319, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:16.230821,"tensor(12.4317, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4317, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:17.509254,"tensor(12.4316, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4316, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:18.791188,"tensor(12.4313, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4313, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:20.083840,"tensor(12.4311, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4311, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:21.359305,"tensor(12.4309, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4309, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:22.625171,"tensor(12.4308, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4308, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:23.902725,"tensor(12.4306, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4306, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:25.178521,"tensor(12.4305, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4305, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:26.445410,"tensor(12.4303, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4303, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:27.728196,"tensor(12.4303, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4303, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:29.004941,"tensor(12.4299, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4299, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:30.271184,"tensor(12.4299, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4299, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:31.548003,"tensor(12.4297, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4297, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:32.817406,"tensor(12.4295, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4295, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:34.106459,"tensor(12.4292, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4292, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:35.369086,"tensor(12.4291, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4291, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:36.626362,"tensor(12.4289, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4289, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:37.884206,"tensor(12.4286, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4286, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:39.148735,"tensor(12.4284, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4284, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:40.409289,"tensor(12.4281, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4281, device='cuda:0', grad_fn=<AddBackward0>)",
,2022-03-31 11:09:41.669891,"tensor(12.4279, device='cuda:0', grad_fn=<AddBackward0>)","tensor(12.4279, device='cuda:0', grad_fn=<AddBackward0>)",
